book_id,isbn13,isbn,authors,original_publication_year,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count
29,9780743477120,743477111,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,3.73,57980,153179,452673,519822,489235,1628519
30,9780297859380,297859382,Gillian Flynn,2012.0,Gone Girl,4.03,38874,80807,280331,616031,610476,512475
31,9780399155340,399155341,Kathryn Stockett,2009.0,The Help,4.45,10235,25117,134887,490754,942552,1531753
32,9780142000670,142000671,John Steinbeck,1937.0,Of Mice and Men,3.84,46630,110856,355169,532291,473795,1467496
33,9780739326220,739326228,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,23500,59033,258700,517157,559782,1300209
34,9781612130290,1612130291,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,165455,152293,252185,294976,571909,1338493
35,9780061122420,61122416,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,3.82,74846,123614,289143,412180,504212,1299566
36,9780385732550,385732554,Lois Lowry,1993.0,"The Giver (The Giver, #1)",4.12,26497,59652,225326,448691,585279,1296825
37,9780060764890,60764899,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,19309,55542,262038,513366,734629,1531800
38,9780965818670,965818675,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,44339,85429,257805,427210,493884,746287
39,9780553588480,553588486,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,19988,28983,114092,404583,874574,1319204
40,9780143038410,143038419,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",3.51,100373,149549,310212,332191,314272,1181647
41,9780786838650,786838655,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,18303,48294,219638,435514,689365,1366265
42,9780451529300,451529308,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",4.04,31645,70011,250794,426280,535563,1257121
43,9780142437210,142437204,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,35132,64274,212294,400214,574221,1198557
44,9780553816720,553816713,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",4.06,41395,63432,176469,298259,497194,1053403
45,9780770430080,770430074,Yann Martel,2001.0,Life of Pi,3.88,39768,74331,218702,384164,360466,1003228
46,9781565125600,1565125606,Sara Gruen,2006.0,Water for Elephants,4.07,16705,49832,200154,417328,424820,1068146
47,9780375831000,375831002,Markus Zusak,2005.0,The Book Thief,4.36,17892,35360,135272,377218,722056,1159741
48,9780307347980,307347974,Ray Bradbury,1953.0,Fahrenheit 451,3.97,28366,64289,238242,426292,419051,570498
49,9780316160190,316160199,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,102837,160660,294207,290612,350684,1149630
50,9780060513030,60513039,Shel Silverstein,1974.0,Where the Sidewalk Ends,4.29,16590,30792,139024,293222,544153,1016888
51,9781416914280,1416914285,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",4.12,34122,65349,203466,356048,582814,1154031
52,9780316160210,316160202,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",3.69,83094,124293,260763,309358,399134,1134511
53,9780375826700,375826696,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",3.86,50563,88536,240157,337943,408032,1104021
54,9780345391800,345391802,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,21764,41962,145173,299579,498001,936782
55,9780060929880,60929871,Aldous Huxley,1932.0,Brave New World,3.97,26367,60328,219895,389379,383166,1022601
56,9780316067930,031606792X,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",3.7,100994,114893,213402,267706,410714,1070245
57,9780142001740,142001740,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,17500,45455,185631,347540,341267,916189
58,9780142437180,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,3.8,28467,76630,255722,344356,296316,953758
59,9780064410940,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,4.15,18450,41124,191415,346090,487763,1064521
60,9781400032720,1400032717,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,21049,58117,218218,355925,262481,867553
61,9781594633670,1594633665,Paula Hawkins,2015.0,The Girl on the Train,3.88,27773,73897,273817,488447,362551,1008778
62,9780679879240,679879242,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",3.94,38382,64591,198764,313147,380030,953970
63,9780393978900,393978893,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,3.82,46469,84084,215320,309180,346082,899195
64,9780743454540,743454537,Jodi Picoult,2004.0,My Sister's Keeper,4.06,17547,42763,162573,314003,350994,863879
65,9780385333850,385333846,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,4.06,24964,45518,152442,300948,367890,846488
66,9780446675540,446675539,Margaret Mitchell,1936.0,Gone with the Wind,4.28,19996,33136,116160,234290,493721,873981
67,9781594489500,1594489505,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,6509,18015,99030,295817,446694,818742
68,9780671027350,671027344,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,14286,38658,143440,297501,461020,888806
69,9780007442910,7442912,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",4.07,10641,44620,182131,339977,369969,836362
70,9780812550700,812550706,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",4.3,15330,27612,103439,264207,462829,813439
71,9780141439470,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,3.75,29366,74142,231022,300495,248538,808589
72,9780450040180,450040186,Stephen King,1977.0,The Shining (The Shining #1),4.17,18487,28981,123862,277393,382158,791850
73,9780316068050,316068047,Stephenie Meyer,2008.0,"The Host (The Host, #1)",3.84,44215,62501,154906,227180,288758,749780
74,9780142402510,142402516,John Green,2005.0,Looking for Alaska,4.09,16940,44232,147324,262932,359857,783470
75,9780140280100,014028009X,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,28973,59309,198555,254836,212825,736498
76,9780141439660,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,4.06,18430,34699,141987,272512,311754,738894
77,9780439244190,439244196,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",3.93,15495,43786,176946,269153,259257,747445
78,9780307275550,307275558,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,24231,58323,192366,226675,178250,665930
79,9780143039950,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,3.73,29703,65629,183082,224120,208223,670326
80,9780156012200,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,4.28,15039,32866,114714,228440,468227,738757
81,9780743247540,074324754X,Jeannette Walls,2005.0,The Glass Castle,4.24,7901,18922,85191,227750,298102,621099
82,9780385486800,385486804,Jon Krakauer,1996.0,Into the Wild,3.94,19229,35567,135199,248287,227095,647684
83,9780141439600,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,3.81,28904,55555,153305,216378,223571,637412
84,9780307348140,030734813X,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",3.96,15736,34222,138327,231583,230615,447833
85,9780060256650,60256656,Shel Silverstein,1964.0,The Giving Tree,4.38,15345,20408,76071,167542,428921,702332
86,9780385338610,385338600,John Grisham,1989.0,A Time to Kill,4.03,12106,25938,122675,218617,229488,597775
87,9780374500020,374500010,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),4.3,7761,18539,90575,230227,360777,691231
88,9780142414930,014241493X,John Green,2008.0,Paper Towns,3.88,14105,47183,154479,223895,215609,461311
89,9780345418260,345418263,William Goldman,1973.0,The Princess Bride ,4.25,12883,21641,89236,196047,338235,628637
90,9780140385720,014038572X,S.E. Hinton,1967.0,The Outsiders,4.06,10178,34346,134244,227250,274419,659248
91,9780385737940,385737947,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",4.02,15291,43370,150488,266698,302109,719925
92,9780061234000,61234001,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,14586,26538,115789,216316,176072,524191
93,9780517189600,517189607,Frances Hodgson Burnett,1911.0,The Secret Garden,4.12,8005,25207,129646,243821,285570,639357
94,9780060531040,60531045,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,4.04,27340,37646,87675,155809,267197,490565
95,9780375751520,375751513,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,4.06,9825,30735,129420,246892,257679,590014
96,9780345803500,345803507,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",3.88,39079,55691,109963,140304,265079,387290
97,9780393970130,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,3.98,11756,36719,151396,246043,243825,618973
98,9780307269980,307269981,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",4.22,4623,15781,91021,258236,279592,563994
99,9781612130580,1612130585,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",3.87,37245,58935,114203,150906,262051,552059
100,9780060786500,60786507,Barbara Kingsolver,1998.0,The Poisonwood Bible,4.02,21699,33702,92590,175725,239071,546502
101,9780349113910,349113912,David Sedaris,2000.0,Me Talk Pretty One Day,3.97,19718,29034,93427,178021,194076,495736
102,9780099408390,99408392,Maurice Sendak,1963.0,Where the Wild Things Are,4.22,15392,27532,93700,167043,332394,620618
103,9780140449270,140449264,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,4.21,10381,22482,89980,183142,295235,555822
104,9780307265430,307265439,Cormac McCarthy,2006.0,The Road,3.95,20086,36561,100989,190823,207328,504793
105,9780007524270,7524277,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",3.63,31626,78366,176061,192785,184388,463257
106,,,Tina Fey,2011.0,Bossypants,3.94,14842,31761,129390,230080,203187,506250
107,9780446693810,446693804,Nicholas Sparks,1999.0,A Walk to Remember,4.15,10640,24094,94327,169650,260870,546948
108,9780440241420,440241413,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,30705,56949,156636,166927,146787,543658
109,9780451525260,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,4.14,15225,25914,87461,167385,264147,513407
110,9780553381700,553381695,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,1788,7104,56167,221706,320000,523303
111,9780143037150,143037145,Kim Edwards,2005.0,The Memory Keeper's Daughter,3.64,19453,47004,145437,183150,115538,501430
112,9780670026610,670026603,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",4.27,10346,21880,91517,249474,367916,587647
113,9780684833390,684833395,Joseph Heller,1961.0,Catch-22,3.98,20639,37912,106269,186745,230950,563265
114,9780751529810,751529818,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,4.06,11507,30534,107446,194448,240462,556518
115,9780312422160,312422156,Jeffrey Eugenides,2002.0,Middlesex,3.98,19329,30503,89740,171099,197327,488243
116,9780143039560,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,3.89,12130,34349,143659,217896,186192,555359
117,9780440498060,440498058,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,17313,34988,119115,209745,268933,615907
118,9780143038090,143038095,Amy Tan,1989.0,The Joy Luck Club,3.9,14802,30197,116748,195930,167566,515090
119,9780385490820,038549081X,Margaret Atwood,1985.0,The Handmaid's Tale,4.06,13998,32561,116975,252942,267088,607889
120,9780385729340,385729332,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,14996,42396,152024,177404,149784,525706
121,,,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,3.88,21091,37205,108664,165477,185553,469836
122,9780060987110,60987103,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,40802,65835,132061,153583,133217,506900
123,9780582418270,582418275,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",3.99,5075,20119,111543,190966,160652,488269
124,9780316098340,316098337,Emma Donoghue,2010.0,Room,4.03,11020,26079,99831,217995,201402,511360
125,9780521618750,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,4.0,10413,32697,121040,192937,219807,515820
126,9780340839940,340839937,Frank Herbert,1965.0,Dune (Dune Chronicles #1),4.19,13354,22778,74206,154771,260867,485032
127,9780316346630,316346624,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,3.92,15111,25871,106453,189120,162511,490504
128,9781451648540,1451648537,Walter Isaacson,2011.0,Steve Jobs,4.09,19680,21986,88456,203975,245159,560715
129,9780451163970,451163966,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,4.18,5672,15978,78714,191622,222472,491642
130,9780684830490,684830493,Ernest Hemingway,1952.0,The Old Man and the Sea,3.73,28645,52583,136217,186747,170136,520630
131,9780142000660,142000663,John Steinbeck,1939.0,The Grapes of Wrath,3.92,23552,40261,103475,173589,212475,322321
132,9781401308580,1401308589,Mitch Albom,2003.0,The Five People You Meet in Heaven,3.9,12360,33669,107800,155830,165040,449501
133,9780451528830,451528824,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,8864,19531,80256,158725,265976,502247
134,9781416914300,1416914307,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",4.34,6646,17351,79202,179290,348071,593173
135,9780553573430,055357342X,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,1456,4820,36418,149268,335682,469022
136,9780060759960,006075995X,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,3.79,15795,35314,120396,158451,140552,465676
137,9780440242950,440242940,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",4.2,20998,27673,73126,147085,309960,515547
138,9780142437260,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,3.37,34813,80444,182701,165079,96209,509883
139,9781594744760,1594744769,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,14920,45434,159227,234792,217849,613674
140,9780307270000,030726999X,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,3823,14773,78387,203297,226511,443951
141,9780804139020,804139024,Andy Weir,2012.0,The Martian,4.39,4114,10856,49200,173861,291671,423344
142,9780451207140,451207149,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,9248,16886,57825,148052,263882,462517
143,9781476746590,1476746583,Anthony Doerr,2014.0,All the Light We Cannot See,4.31,6209,14527,61020,185239,280832,470001
144,9781400064170,1400064163,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,10308,12874,47828,144203,313339,487775
145,9780671027380,671027387,Dan Brown,2001.0,Deception Point,3.67,14380,45006,143182,160819,116346,455610
146,9780316055440,316055433,Donna Tartt,2013.0,The Goldfinch,3.87,19164,35300,93459,153459,162465,396756
147,9781595141710,1595141715,Jay Asher,2007.0,Thirteen Reasons Why,4.02,15246,35668,105414,179197,235756,463783
148,9780452287020,452287022,Tracy Chevalier,1999.0,Girl with a Pearl Earring,3.85,11525,28287,123463,189656,139246,467577
149,9780525421030,525421033,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",3.96,12666,34896,122977,190793,205755,503527
150,9780312353770,312353766,Anita Diamant,1997.0,The Red Tent,4.16,9470,19616,67878,146178,206075,424981
151,9780786856860,786856866,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,2967,13884,91127,188988,253546,514932
152,9780446528050,446528056,Nicholas Sparks,2006.0,Dear John,4.01,9683,25220,94711,145202,179965,441062
153,9781416914300,1416914293,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",4.21,6135,20075,92626,192934,274238,541117
154,9780743477110,743477103,William Shakespeare,1606.0,Macbeth,3.88,10551,35408,127354,183871,167642,496018
155,9780618346260,618346260,J.R.R. Tolkien,1954.0,"The Two Towers (The Lord of the Rings, #2)",4.42,3013,10264,55433,156232,307267,480446
156,9780312321180,031232118X,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",3.83,16019,29297,104322,148507,137044,403601
157,9780394800160,394800168,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,4.29,6605,14530,66873,121751,251282,457475
158,9780142403880,142403881,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,6236,17193,94240,178216,198862,453959
159,9781423101470,1423101464,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,2435,8093,62108,172289,292783,508214
160,9780192833590,192833596,Charles Dickens,1860.0,Great Expectations,3.75,22811,44293,120385,170702,148996,459247
161,9780345339740,345339738,J.R.R. Tolkien,1955.0,"The Return of the King (The Lord of the Rings, #3)",4.51,2691,8008,42693,132149,324996,463959
162,,,"Albert Camus, Matthew    Ward",1942.0,The Stranger,3.96,10563,28920,100140,174957,169043,420600
163,9781423113390,142311339X,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",4.35,5020,11267,58590,148498,266120,271576
164,9781250012580,1250012570,Rainbow Rowell,2013.0,Eleanor & Park,4.11,12904,26371,94470,196224,249784,514312
165,9780553582020,055358202X,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,3170,18574,94401,175973,189012,428186
166,9780525423640,525423648,Ally Condie,2010.0,"Matched (Matched, #1)",3.68,24343,53804,138030,165412,149091,511815
167,9780747263750,747263744,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",4.11,9888,24944,83253,178346,221912,378019
168,9780385199580,385199570,"Stephen King, Bernie Wrightson",1978.0,The Stand,4.34,5647,13612,56722,134098,259874,438832
169,9780446547570,446547565,Nicholas Sparks,2008.0,The Last Song,4.14,7253,17803,77712,140241,195420,424637
170,9780552151700,552151696,Dan Brown,1998.0,Digital Fortress,3.6,16592,47507,136196,144029,103179,423019
171,9780141439590,141439580,"Jane Austen, Fiona Stafford",1815.0,Emma,3.99,11386,25777,102144,178238,180404,459826
172,9780345803920,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Anna Karenina,4.02,11738,26945,88365,158179,187569,297472
173,9780393312840,393312836,Anthony Burgess,1962.0,A Clockwork Orange,3.98,14741,24244,84863,163488,167055,431195
174,9780964729230,964729237,William Paul Young,2007.0,The Shack,3.74,35734,42977,84751,111923,162907,419539
175,9780739380340,739380338,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,2098,6501,45208,133168,312535,397500
176,9780451169520,451169514,Stephen King,1986.0,It,4.18,8464,19610,75841,148672,226794,292592
177,9780143058140,143058142,"Fyodor Dostoyevsky, David McDuff",1866.0,Crime and Punishment,4.18,9477,20078,64050,137104,213966,380903
178,9780061148510,61148512,Sylvia Plath,1963.0,The Bell Jar,3.98,8266,23983,92408,162216,155284,401605
179,9780007205230,7205236,Frank McCourt,1996.0,"Angela's Ashes (Frank McCourt, #1)",4.07,7657,18327,73550,155775,164437,392103
180,9780553208850,553208845,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,3.99,10229,25529,83698,138837,160360,372099
181,9780679745590,679745580,Truman Capote,1965.0,In Cold Blood,4.05,10639,17836,70857,144616,157891,381652
182,9780316042670,316042676,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",3.76,19917,43525,113352,132492,149232,436093
183,9781416975860,1416975861,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",4.33,8364,15544,61409,140928,289514,490890
184,9780141301070,141301066,"Roald Dahl, Quentin Blake",1988.0,Matilda,4.29,4277,10823,64536,152003,231852,440743
185,9780385534640,385534639,Erin Morgenstern,2011.0,The Night Circus,4.03,11349,28650,84254,159596,190977,429543
186,9780743227440,743227441,Philippa Gregory,2001.0,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,5311,16716,78620,153807,144769,381080
187,9780689865380,689865384,Scott Westerfeld,2005.0,"Uglies (Uglies, #1)",3.86,15531,34808,106086,151540,156624,449073
188,,,George R.R. Martin,2011.0,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31,2399,10150,53744,147136,211189,365954
189,9780618640160,618640150,J.R.R. Tolkien,1955.0,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,4807,9577,37552,106818,277592,389054
190,9780307592740,307592731,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,3.96,8344,22137,85489,165482,139451,379872
191,9780930289230,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,4.35,6349,11732,44847,116877,229518,398018
192,9780756404080,075640407X,Patrick Rothfuss,2007.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,5605,8582,28480,95470,311235,400101
193,9780316017920,316017922,Malcolm Gladwell,2008.0,Outliers: The Story of Success,4.11,4494,12545,62510,148978,140599,353011
194,9780142437250,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby-Dick or, The Whale",3.46,35983,52601,103625,102432,103322,358050
195,9780385340990,385340990,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,4.12,7190,17250,68942,155107,175183,393626
196,9780393327340,393327345,Chuck Palahniuk,1996.0,Fight Club,4.2,4578,12632,58110,139554,173780,365349
197,9780441008540,441008534,Charlaine Harris,2001.0,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,11330,25781,96290,148326,163097,420764
198,9780671727800,671727796,Alice Walker,1982.0,The Color Purple,4.17,6298,14477,62380,140835,176975,376766
199,9780739461200,739461192,John Grogan,2005.0,Marley and Me: Life and Love With the World's Worst Dog,4.12,5485,14940,68532,131536,158855,367304
200,9780312330870,312330871,Agatha Christie,1939.0,And Then There Were None,4.23,6134,12476,66243,156306,215521,408983
201,9780385504220,385504225,Dan Brown,2009.0,"The Lost Symbol (Robert Langdon, #3)",3.66,11293,40545,120122,136545,96477,369428
202,9781416989420,1416989412,Becca Fitzpatrick,2009.0,"Hush, Hush (Hush, Hush, #1)",4.0,19338,33543,82544,120204,206173,448166
203,,,Jamie McGuire,2011.0,"Beautiful Disaster (Beautiful, #1)",4.15,17185,23298,61993,115123,225097,418309
204,9781561797460,1561797464,Charles Dickens,1843.0,A Christmas Carol,4.02,6737,21415,93906,153823,165515,394540
205,9780345476880,345476875,Anne Rice,1976.0,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,7519,22377,84804,137659,141582,372566
206,9780062059930,62059939,Kiera Cass,2012.0,"The Selection (The Selection, #1)",4.15,13841,25349,83692,158716,257493,505340
207,9780312362090,312362080,Janet Evanovich,1994.0,"One for the Money (Stephanie Plum, #1)",4.03,9176,19657,80319,133454,160709,391007
