book_id,title,author,isbn13,cover_path
72,The Shining (The Shining #1),Stephen King,9.78045004018e+12,book_covers\72_The Shining (The Shining #1).jpg
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,9.7801402801e+12,"book_covers\75_Bridget Jones's Diary (Bridget Jones, #1).jpg"
77,"Holes (Holes, #1)",Louis Sachar,9.78043924419e+12,"book_covers\77_Holes (Holes, #1).jpg"
74,Looking for Alaska,John Green,9.78014240251e+12,book_covers\74_Looking for Alaska.jpg
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,9.78030727555e+12,"book_covers\78_The Devil Wears Prada (The Devil Wears Prada, #1).jpg"
76,Sense and Sensibility,Jane Austen,9.78014143966e+12,book_covers\76_Sense and Sensibility.jpg
79,The Odyssey,Homer,9.78014303995e+12,book_covers\79_The Odyssey.jpg
80,The Little Prince,Antoine de Saint-Exupéry,9.7801560122e+12,book_covers\80_The Little Prince.jpg
81,The Glass Castle,Jeannette Walls,9.78074324754e+12,book_covers\81_The Glass Castle.jpg
83,A Tale of Two Cities,Charles Dickens,9.7801414396e+12,book_covers\83_A Tale of Two Cities.jpg
82,Into the Wild,Jon Krakauer,9.7803854868e+12,book_covers\82_Into the Wild.jpg
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,9.78030734814e+12,"book_covers\84_Jurassic Park (Jurassic Park, #1).jpg"
85,The Giving Tree,Shel Silverstein,9.78006025665e+12,book_covers\85_The Giving Tree.jpg
88,Paper Towns,John Green,9.78014241493e+12,book_covers\88_Paper Towns.jpg
86,A Time to Kill,John Grisham,9.78038533861e+12,book_covers\86_A Time to Kill.jpg
89,The Princess Bride ,William Goldman,9.78034541826e+12,book_covers\89_The Princess Bride .jpg
90,The Outsiders,S.E. Hinton,9.78014038572e+12,book_covers\90_The Outsiders.jpg
87,Night (The Night Trilogy #1),Elie Wiesel,9.78037450002e+12,book_covers\87_Night (The Night Trilogy #1).jpg
91,"The Maze Runner (Maze Runner, #1)",James Dashner,9.78038573794e+12,"book_covers\91_The Maze Runner (Maze Runner, #1).jpg"
94,One Hundred Years of Solitude,Gabriel García Márquez,9.78006053104e+12,book_covers\94_One Hundred Years of Solitude.jpg
93,The Secret Garden,Frances Hodgson Burnett,9.7805171896e+12,
95,The Picture of Dorian Gray,Oscar Wilde,9.78037575152e+12,book_covers\95_The Picture of Dorian Gray.jpg
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven D. Levitt,9.780061234e+12,book_covers\92_Freakonomics: A Rogue Economist Explores the Hidde.jpg
98,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,9.78030726998e+12,
97,Dracula,Bram Stoker,9.78039397013e+12,book_covers\97_Dracula.jpg
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,9.7803458035e+12,"book_covers\96_Fifty Shades Freed (Fifty Shades, #3).jpg"
101,Me Talk Pretty One Day,David Sedaris,9.78034911391e+12,
102,Where the Wild Things Are,Maurice Sendak,9.78009940839e+12,
100,The Poisonwood Bible,Barbara Kingsolver,9.7800607865e+12,book_covers\100_The Poisonwood Bible.jpg
105,"Allegiant (Divergent, #3)",Veronica Roth,9.78000752427e+12,
104,The Road,Cormac McCarthy,9.78030726543e+12,book_covers\104_The Road.jpg
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,9.78161213058e+12,"book_covers\99_Fifty Shades Darker (Fifty Shades, #2).jpg"
106,Bossypants,Tina Fey,,
107,A Walk to Remember,Nicholas Sparks,9.78044669381e+12,
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,9.78044024142e+12,"book_covers\108_Confessions of a Shopaholic (Shopaholic, #1).jpg"
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,9.7805533817e+12,
109,Les Misérables,Victor Hugo,9.78045152526e+12,book_covers\109_Les Misérables.jpg
111,The Memory Keeper's Daughter,Kim Edwards,9.78014303715e+12,
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,9.78044049806e+12,
113,Catch-22,Joseph Heller,9.78068483339e+12,
114,Tuesdays with Morrie,Mitch Albom,9.78075152981e+12,book_covers\114_Tuesdays with Morrie.jpg
103,The Count of Monte Cristo,Alexandre Dumas,9.78014044927e+12,
115,Middlesex,Jeffrey Eugenides,9.78031242216e+12,
112,"Me Before You (Me Before You, #1)",Jojo Moyes,9.78067002661e+12,"book_covers\112_Me Before You (Me Before You, #1).jpg"
118,The Joy Luck Club,Amy Tan,9.78014303809e+12,
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,9.78038572934e+12,
116,The Adventures of Tom Sawyer,Mark Twain,9.78014303956e+12,book_covers\116_The Adventures of Tom Sawyer.jpg
119,The Handmaid's Tale,Margaret Atwood,9.78038549082e+12,
121,Lolita,Vladimir Nabokov,,
123,"The Firm (Penguin Readers, Level 5)",John Grisham,9.78058241827e+12,
125,Hamlet,William Shakespeare,9.78052161875e+12,
126,Dune (Dune Chronicles #1),Frank Herbert,9.78034083994e+12,
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,9.78006098711e+12,book_covers\122_Wicked: The Life and Times of the Wicked Witch of .jpg
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,9.78031634663e+12,
124,Room,Emma Donoghue,9.78031609834e+12,book_covers\124_Room.jpg
129,One Flew Over the Cuckoo's Nest,Ken Kesey,9.78045116397e+12,book_covers\129_One Flew Over the Cuckoo's Nest.jpg
128,Steve Jobs,Walter Isaacson,9.78145164854e+12,
130,The Old Man and the Sea,Ernest Hemingway,9.78068483049e+12,book_covers\130_The Old Man and the Sea.jpg
132,The Five People You Meet in Heaven,Mitch Albom,9.78140130858e+12,
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,9.78045152883e+12,
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,9.7814169143e+12,"book_covers\134_City of Glass (The Mortal Instruments, #3).jpg"
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,9.78006075996e+12,
131,The Grapes of Wrath,John Steinbeck,9.78014200066e+12,book_covers\131_The Grapes of Wrath.jpg
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,9.78055357343e+12,"book_covers\135_A Storm of Swords (A Song of Ice and Fire, #3).jpg"
137,"Outlander (Outlander, #1)",Diana Gabaldon,9.78044024295e+12,
138,The Scarlet Letter,Nathaniel Hawthorne,9.78014243726e+12,
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,9.78045120714e+12,
141,The Martian,Andy Weir,9.78080413902e+12,book_covers\141_The Martian.jpg
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,9.78159474476e+12,
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,9.78140006417e+12,
146,The Goldfinch,Donna Tartt,9.78031605544e+12,
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,9.78030727e+12,"book_covers\140_The Girl Who Kicked the Hornet's Nest (Millennium,.jpg"
143,All the Light We Cannot See,Anthony Doerr,9.78147674659e+12,
145,Deception Point,Dan Brown,9.78067102738e+12,
147,Thirteen Reasons Why,Jay Asher,9.78159514171e+12,
148,Girl with a Pearl Earring,Tracy Chevalier,9.78045228702e+12,
149,"If I Stay (If I Stay, #1)",Gayle Forman,9.78052542103e+12,
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,9.78078685686e+12,
154,Macbeth,William Shakespeare,9.78074347711e+12,
157,Green Eggs and Ham,Dr. Seuss,9.78039480016e+12,
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,9.78061834626e+12,
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,9.78031232118e+12,
150,The Red Tent,Anita Diamant,9.78031235377e+12,book_covers\150_The Red Tent.jpg
152,Dear John,Nicholas Sparks,9.78044652805e+12,book_covers\152_Dear John.jpg
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,9.7814169143e+12,"book_covers\153_City of Ashes (The Mortal Instruments, #2).jpg"
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,9.78014240388e+12,
160,Great Expectations,Charles Dickens,9.78019283359e+12,book_covers\160_Great Expectations.jpg
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,9.78034533974e+12,
162,The Stranger,Albert Camus,,
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,9.78142310147e+12,
164,Eleanor & Park,Rainbow Rowell,9.78125001258e+12,
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,9.78142311339e+12,
168,The Stand,Stephen King,9.78038519958e+12,
169,The Last Song,Nicholas Sparks,9.78044654757e+12,
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,9.78055358202e+12,"book_covers\165_A Feast for Crows (A Song of Ice and Fire, #4).jpg"
166,"Matched (Matched, #1)",Ally Condie,9.78052542364e+12,"book_covers\166_Matched (Matched, #1).jpg"
172,Anna Karenina,Leo Tolstoy,9.78034580392e+12,
170,Digital Fortress,Dan Brown,9.7805521517e+12,
171,Emma,Jane Austen,9.78014143959e+12,
167,"American Gods (American Gods, #1)",Neil Gaiman,9.78074726375e+12,"book_covers\167_American Gods (American Gods, #1).jpg"
174,The Shack,William Paul Young,9.78096472923e+12,book_covers\174_The Shack.jpg
176,It,Stephen King,9.78045116952e+12,
180,Siddhartha,Hermann Hesse,9.78055320885e+12,
173,A Clockwork Orange,Anthony Burgess,9.78039331284e+12,book_covers\173_A Clockwork Orange.jpg
178,The Bell Jar,Sylvia Plath,9.78006114851e+12,
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,9.78000720523e+12,
177,Crime and Punishment,Fyodor Dostoyevsky,9.78014305814e+12,book_covers\177_Crime and Punishment.jpg
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,9.78073938034e+12,
182,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,9.78031604267e+12,"book_covers\182_Beautiful Creatures (Caster Chronicles, #1).jpg"
184,Matilda,Roald Dahl,9.78014130107e+12,
187,"Uglies (Uglies, #1)",Scott Westerfeld,9.78068986538e+12,
181,In Cold Blood,Truman Capote,9.78067974559e+12,book_covers\181_In Cold Blood.jpg
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,9.78141697586e+12,"book_covers\183_Clockwork Angel (The Infernal Devices, #1).jpg"
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,9.78074322744e+12,
185,The Night Circus,Erin Morgenstern,9.78038553464e+12,book_covers\185_The Night Circus.jpg
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,9.78061864016e+12,
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,"book_covers\188_A Dance with Dragons (A Song of Ice and Fire, #5).jpg"
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,9.78075640408e+12,
191,Watchmen,Alan Moore,9.78093028923e+12,
195,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,9.78038534099e+12,
196,Fight Club,Chuck Palahniuk,9.78039332734e+12,
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,9.78030759274e+12,book_covers\190_Wild: From Lost to Found on the Pacific Crest Trai.jpg
193,Outliers: The Story of Success,Malcolm Gladwell,9.78031601792e+12,
194,"Moby-Dick or, The Whale",Herman Melville,9.78014243725e+12,"book_covers\194_Moby-Dick or, The Whale.jpg"
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,9.7807394612e+12,
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,9.78044100854e+12,
198,The Color Purple,Alice Walker,9.7806717278e+12,
200,And Then There Were None,Agatha Christie,9.78031233087e+12,book_covers\200_And Then There Were None.jpg
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,9.78141698942e+12,"book_covers\202_Hush, Hush (Hush, Hush, #1).jpg"
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,9.78034547688e+12,
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,9.78038550422e+12,"book_covers\201_The Lost Symbol (Robert Langdon, #3).jpg"
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,9.78031236209e+12,
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,9.78140005217e+12,
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,9.78009944678e+12,
204,A Christmas Carol,Charles Dickens,9.78156179746e+12,book_covers\204_A Christmas Carol.jpg
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,,"book_covers\203_Beautiful Disaster (Beautiful, #1).jpg"
206,"The Selection (The Selection, #1)",Kiera Cass,9.78006205993e+12,"book_covers\206_The Selection (The Selection, #1).jpg"
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,9.78159514174e+12,
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,9.78031601066e+12,book_covers\211_Blink: The Power of Thinking Without Thinking.jpg
213,The Metamorphosis,Franz Kafka,9.78055321369e+12,
212,Atonement,Ian McEwan,9.78038572179e+12,book_covers\212_Atonement.jpg
215,Ready Player One,Ernest Cline,9.78030788744e+12,
218,"Bared to You (Crossfire, #1)",Sylvia Day,9.78042526391e+12,
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,9.78014138289e+12,book_covers\214_The Titan's Curse (Percy Jackson and the Olympians.jpg
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,9.7807393034e+12,"book_covers\217_The Devil in the White City: Murder, Magic, and Ma.jpg"
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,9.78031604314e+12,
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,9.7800662385e+12,"book_covers\219_The Chronicles of Narnia (Chronicles of Narnia, #1.jpg"
216,The Art of Racing in the Rain,Garth Stein,9.78155468172e+12,book_covers\216_The Art of Racing in the Rain.jpg
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,9.78155874366e+12,
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,9.78075286433e+12,
224,"Fallen (Fallen, #1)",Lauren Kate,9.78038573893e+12,"book_covers\224_Fallen (Fallen, #1).jpg"
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,9.78078681787e+12,"book_covers\223_Artemis Fowl (Artemis Fowl, #1).jpg"
225,East of Eden,John Steinbeck,9.78014200066e+12,book_covers\225_East of Eden.jpg
226,Dark Places,Gillian Flynn,9.78030734156e+12,
232,"The Gunslinger (The Dark Tower, #1)",Stephen King,9.78045228469e+12,
229,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,9.78045152774e+12,
230,Persuasion,Jane Austen,9.78019280264e+12,
228,"The Nanny Diaries (Nanny, #1)",Emma McLaughlin,9.78031229163e+12,"book_covers\228_The Nanny Diaries (Nanny, #1).jpg"
227,The Client,John Grisham,9.78038533909e+12,book_covers\227_The Client.jpg
231,Sarah's Key,Tatiana de Rosnay,9.78031237083e+12,book_covers\231_Sarah's Key.jpg
238,Running with Scissors,Augusten Burroughs,9.78031242227e+12,book_covers\238_Running with Scissors.jpg
233,Love in the Time of Cholera,Gabriel García Márquez,9.78140003468e+12,book_covers\233_Love in the Time of Cholera.jpg
234,Speak,Laurie Halse Anderson,9.78014131089e+12,book_covers\234_Speak.jpg
240,"Inferno (Robert Langdon, #4)",Dan Brown,9.78038553786e+12,
235,The Husband's Secret,Liane Moriarty,9.78039915934e+12,book_covers\235_The Husband's Secret.jpg
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,9.78038549479e+12,book_covers\236_Into Thin Air: A Personal Account of the Mount Eve.jpg
237,Carrie,Stephen King,9.7814165243e+12,book_covers\237_Carrie.jpg
241,Number the Stars,Lois Lowry,9.78044022753e+12,book_covers\241_Number the Stars.jpg
239,World War Z: An Oral History of the Zombie War,Max Brooks,9.7803073466e+12,book_covers\239_World War Z: An Oral History of the Zombie War.jpg
245,Bridge to Terabithia,Katherine Paterson,9.78043936678e+12,
242,"Along Came a Spider (Alex Cross, #1)",James Patterson,9.78044669263e+12,"book_covers\242_Along Came a Spider (Alex Cross, #1).jpg"
246,"Marked (House of Night, #1)",P.C. Cast,9.78031236027e+12,"book_covers\246_Marked (House of Night, #1).jpg"
243,Misery,Stephen King,9.7804504174e+12,book_covers\243_Misery.jpg
244,Sharp Objects,Gillian Flynn,9.78030734155e+12,book_covers\244_Sharp Objects.jpg
250,Wonder,R.J. Palacio,9.78037586902e+12,book_covers\250_Wonder.jpg
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,9.78061871166e+12,book_covers\249_Extremely Loud and Incredibly Close.jpg
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,9.78074326951e+12,book_covers\247_The 7 Habits of Highly Effective People: Powerful .jpg
252,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,9.78031264189e+12,"book_covers\252_Cinder (The Lunar Chronicles, #1).jpg"
251,The Cat in the Hat,Dr. Seuss,9.78039480001e+12,book_covers\251_The Cat in the Hat.jpg
248,A Midsummer Night's Dream,William Shakespeare,9.78074347754e+12,book_covers\248_A Midsummer Night's Dream.jpg
253,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,9.78031620685e+12,
255,Atlas Shrugged,Ayn Rand,9.78045201188e+12,
254,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,9.78054512327e+12,"book_covers\254_Shiver (The Wolves of Mercy Falls, #1).jpg"
257,Alice in Wonderland,Jane Carruth,9.78051722363e+12,
260,How to Win Friends and Influence People,Dale Carnegie,9.78067172365e+12,
259,"The Scorch Trials (Maze Runner, #2)",James Dashner,9.78038573875e+12,"book_covers\259_The Scorch Trials (Maze Runner, #2).jpg"
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,9.78014303825e+12,book_covers\256_Three Cups of Tea: One Man's Mission to Promote Pe.jpg
262,Big Little Lies,Liane Moriarty,9.78039916706e+12,book_covers\262_Big Little Lies.jpg
263,Ella Enchanted,Gail Carson Levine,9.78059092068e+12,book_covers\263_Ella Enchanted.jpg
261,Under the Tuscan Sun,Frances Mayes,9.78076790039e+12,book_covers\261_Under the Tuscan Sun.jpg
